country,code,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,CRM,2017,Q2,2016-07-31,USD,2036618000.0,525579000.0,1186982000.0,1478488000.0,32551000.0,149361000.0,0.0,24283000.0,229622000.0,681126000.0,695968000.0,1115226000.0,59057000.0,3277999000.0,1728243000.0,11103315000.0,5376096000.0,2872642000.0,685000.0,-376161000.0,6132576000.0,-406266000.0,-276705000.0,95651000.0,250678000.0,-1542432000.0,616633000.0,-683857000.0,1799083000.0,-96030000.0
US,CRM,2017,Q3,2016-10-31,USD,2144775000.0,585522000.0,1244758000.0,1556217000.0,3036000.0,169346000.0,-18304000.0,-12586000.0,-37309000.0,690468000.0,690468000.0,1145736000.0,55071000.0,3001554000.0,1756673000.0,11386115000.0,4975534000.0,2606098000.0,697000.0,-413470000.0,6806037000.0,-282154000.0,-423319000.0,100511000.0,154312000.0,-193784000.0,81849000.0,30510000.0,1115226000.0,-140653000.0
US,CRM,2017,Q4,2017-01-31,USD,2293988000.0,625957000.0,1347184000.0,1691376000.0,854000.0,180766000.0,-20383000.0,-23469000.0,-51440000.0,700994000.0,700994000.0,1606549000.0,602338000.0,5996827000.0,1787534000.0,11588096000.0,7295466000.0,2789330000.0,708000.0,-464910000.0,7500127000.0,222212000.0,1805603000.0,110221000.0,706146000.0,-497847000.0,260043000.0,460813000.0,1145736000.0,-143974000.0
US,CRM,2018,Q1,2017-04-30,USD,2387579000.0,651000000.0,1366000000.0,1742000000.0,4000000.0,185000000.0,-16549000.0,-10000000.0,1000000.0,706000000.0,722000000.0,2024904000.0,1194646000.0,5404491000.0,1846413000.0,11654439000.0,7625863000.0,1498579000.0,712000.0,-474117000.0,7934488000.0,688255000.0,-584599000.0,113859000.0,1229584000.0,-767715000.0,-49636000.0,418355000.0,1606549000.0,-156602000.0
US,CRM,2018,Q2,2017-07-31,USD,2561589000.0,670000000.0,1436000000.0,1823000000.0,84000000.0,192000000.0,-14000000.0,63000000.0,46000000.0,712000000.0,729000000.0,1949110000.0,1552135000.0,5811341000.0,1866576000.0,11607462000.0,7526185000.0,1424081000.0,719000.0,-456381000.0,8468537000.0,-250830000.0,-340721000.0,115621000.0,331269000.0,-523631000.0,117278000.0,-75794000.0,2024904000.0,-128388000.0
US,CRM,2018,Q3,2017-10-31,USD,2679841000.0,714000000.0,1438000000.0,1832000000.0,155000000.0,188000000.0,-11000000.0,146000000.0,107000000.0,717000000.0,738000000.0,2071837000.0,1556828000.0,5946170000.0,1864891000.0,11543866000.0,7216444000.0,1433425000.0,722000.0,-404987000.0,8840167000.0,-489897000.0,-598114000.0,125472000.0,125792000.0,-135274000.0,134254000.0,122727000.0,1949110000.0,-111278000.0
US,CRM,2018,Q4,2018-01-31,USD,2851003000.0,737792000.0,1638795000.0,2035342000.0,109778000.0,187689000.0,-10000000.0,88217000.0,67555000.0,724127000.0,749464000.0,2543000000.0,1978000000.0,9584000000.0,1947000000.0,12400000000.0,10067000000.0,1541000000.0,1000000.0,635000000.0,10376000000.0,417417000.0,2276033000.0,140977000.0,1051320000.0,-583882000.0,19329000.0,471647000.0,2071837000.0,-137759000.0
US,CRM,2019,Q1,2018-04-30,USD,3006000000.0,767000000.0,1624000000.0,2048000000.0,191000000.0,197000000.0,-14000000.0,385000000.0,344000000.0,729000000.0,754000000.0,5922000000.0,1237000000.0,10151000000.0,1950000000.0,12812000000.0,7895000000.0,4008000000.0,1000000.0,969000000.0,11060000000.0,696000000.0,-920000000.0,204000000.0,1466000000.0,276000000.0,1625000000.0,3379000000.0,2543000000.0,-122000000.0
US,CRM,2019,Q2,2018-07-31,USD,3281000000.0,849000000.0,1854000000.0,2317000000.0,270000000.0,253000000.0,-27000000.0,231000000.0,299000000.0,747000000.0,774000000.0,2319000000.0,1108000000.0,6802000000.0,1986000000.0,19021000000.0,8469000000.0,3826000000.0,1000000.0,1269000000.0,13528000000.0,-485000000.0,-519000000.0,184000000.0,458000000.0,-4661000000.0,589000000.0,-3603000000.0,5922000000.0,-170000000.0
US,CRM,2019,Q3,2018-10-31,USD,3392000000.0,889000000.0,1930000000.0,2411000000.0,92000000.0,257000000.0,-27000000.0,128000000.0,105000000.0,760000000.0,785000000.0,2105000000.0,1345000000.0,6870000000.0,1998000000.0,19718000000.0,8022000000.0,3873000000.0,1000000.0,1373000000.0,14693000000.0,-697000000.0,-697000000.0,191000000.0,143000000.0,-545000000.0,182000000.0,-214000000.0,2319000000.0,-136000000.0
US,CRM,2019,Q4,2019-01-31,USD,3603000000.0,946000000.0,2002000000.0,2520000000.0,280000000.0,273000000.0,-25000000.0,239000000.0,362000000.0,766000000.0,786000000.0,2669000000.0,1673000000.0,10683000000.0,2051000000.0,20054000000.0,11255000000.0,3877000000.0,1000000.0,1735000000.0,15605000000.0,314000000.0,2658000000.0,178000000.0,1331000000.0,-378000000.0,-386000000.0,564000000.0,2105000000.0,-167000000.0
US,CRM,2020,Q1,2019-04-30,USD,3737000000.0,914000000.0,2059000000.0,2613000000.0,210000000.0,376000000.0,-9000000.0,482000000.0,392000000.0,771000000.0,793000000.0,4110000000.0,2269000000.0,10035000000.0,5097000000.0,23119000000.0,10488000000.0,6220000000.0,1000000.0,2127000000.0,16446000000.0,865000000.0,-1103000000.0,209000000.0,1965000000.0,-726000000.0,207000000.0,1441000000.0,2669000000.0,-159000000.0
US,CRM,2020,Q2,2019-07-31,USD,3997000000.0,967000000.0,2199000000.0,2972000000.0,224000000.0,395000000.0,-3000000.0,164000000.0,91000000.0,776000000.0,795000000.0,3510000000.0,2532000000.0,9903000000.0,5187000000.0,23433000000.0,10195000000.0,5975000000.0,1000000.0,2218000000.0,17166000000.0,-774000000.0,-767000000.0,217000000.0,436000000.0,-852000000.0,-183000000.0,-600000000.0,4110000000.0,-178000000.0
US,CRM,2020,Q3,2019-10-31,USD,4513000000.0,1134000000.0,2540000000.0,3314000000.0,65000000.0,608000000.0,0.0,64000000.0,-109000000.0,879000000.0,879000000.0,3868000000.0,2661000000.0,11026000000.0,5515000000.0,38916000000.0,10474000000.0,6189000000.0,1000000.0,2109000000.0,33279000000.0,-959000000.0,-812000000.0,221000000.0,298000000.0,63000000.0,15000000.0,358000000.0,3510000000.0,-170000000.0
US,CRM,2020,Q4,2020-01-31,USD,4851000000.0,1220000000.0,2836000000.0,3667000000.0,-36000000.0,633000000.0,-2000000.0,-4000000.0,-248000000.0,889000000.0,889000000.0,4145000000.0,3802000000.0,15963000000.0,5415000000.0,39163000000.0,14845000000.0,6396000000.0,1000000.0,1861000000.0,33885000000.0,538000000.0,3217000000.0,229000000.0,1632000000.0,-1465000000.0,125000000.0,277000000.0,3868000000.0,-136000000.0
US,CRM,2021,Q1,2020-04-30,USD,4865000000.0,1254000000.0,2892000000.0,3751000000.0,-140000000.0,658000000.0,3000000.0,47000000.0,99000000.0,896000000.0,913000000.0,5772000000.0,4030000000.0,14713000000.0,5501000000.0,38910000000.0,12843000000.0,6215000000.0,1000000.0,1960000000.0,34565000000.0,543000000.0,-1580000000.0,247000000.0,1859000000.0,-437000000.0,209000000.0,1627000000.0,4145000000.0,-323000000.0
US,CRM,2021,Q2,2020-07-31,USD,5151000000.0,1311000000.0,2764000000.0,3662000000.0,178000000.0,649000000.0,-7000000.0,839000000.0,2625000000.0,904000000.0,922000000.0,4052000000.0,5231000000.0,14846000000.0,5513000000.0,42934000000.0,12963000000.0,6377000000.0,1000000.0,4585000000.0,38440000000.0,-988000000.0,-920000000.0,-432000000.0,429000000.0,-2593000000.0,441000000.0,-1720000000.0,5772000000.0,-114000000.0
US,CRM,2021,Q3,2020-10-31,USD,5419000000.0,1394000000.0,2899000000.0,3801000000.0,224000000.0,670000000.0,-8000000.0,1250000000.0,1081000000.0,911000000.0,939000000.0,3724000000.0,5768000000.0,14946000000.0,5526000000.0,44190000000.0,12234000000.0,6592000000.0,1000000.0,5666000000.0,40310000000.0,-1213000000.0,-1285000000.0,271000000.0,339000000.0,-1035000000.0,368000000.0,-328000000.0,4052000000.0,-124000000.0
US,CRM,2021,Q4,2021-01-31,USD,5817000000.0,1479000000.0,3206000000.0,4145000000.0,193000000.0,869000000.0,-51000000.0,425000000.0,267000000.0,916000000.0,939000000.0,6195000000.0,5771000000.0,21889000000.0,5663000000.0,44412000000.0,17728000000.0,7080000000.0,1000000.0,5933000000.0,41493000000.0,466000000.0,4012000000.0,290000000.0,2174000000.0,94000000.0,176000000.0,2471000000.0,3724000000.0,-149000000.0
US,CRM,2022,Q1,2021-04-30,USD,5963000000.0,1555000000.0,3103000000.0,4054000000.0,354000000.0,685000000.0,-33000000.0,604000000.0,469000000.0,921000000.0,940000000.0,8544000000.0,6479000000.0,20444000000.0,5555000000.0,44441000000.0,15323000000.0,6995000000.0,1000000.0,6402000000.0,42567000000.0,1484000000.0,-1806000000.0,314000000.0,3228000000.0,-1047000000.0,165000000.0,2349000000.0,6195000000.0,-171000000.0
US,CRM,2022,Q2,2021-07-31,USD,6340000000.0,1613000000.0,3375000000.0,4395000000.0,332000000.0,719000000.0,-40000000.0,826000000.0,535000000.0,933000000.0,950000000.0,6299000000.0,3351000000.0,16256000000.0,5834000000.0,72402000000.0,17393000000.0,15745000000.0,1000000.0,6937000000.0,55520000000.0,-1316000000.0,-936000000.0,334000000.0,386000000.0,-11054000000.0,8440000000.0,-2245000000.0,8544000000.0,-213000000.0
US,CRM,2022,Q3,2021-10-31,USD,6863000000.0,1844000000.0,3778000000.0,4981000000.0,38000000.0,963000000.0,-72000000.0,299000000.0,468000000.0,980000000.0,1001000000.0,4753000000.0,4638000000.0,15957000000.0,5677000000.0,71479000000.0,15035000000.0,15347000000.0,1000000.0,7405000000.0,57054000000.0,-1820000000.0,-1361000000.0,344000000.0,404000000.0,-976000000.0,-970000000.0,-1546000000.0,6299000000.0,-166000000.0
US,CRM,2022,Q4,2022-01-31,USD,7326000000.0,2014000000.0,4197000000.0,5488000000.0,-176000000.0,931000000.0,-75000000.0,-197000000.0,-28000000.0,985000000.0,986000000.0,5464000000.0,5073000000.0,22850000000.0,5695000000.0,72359000000.0,21788000000.0,15290000000.0,1000000.0,7377000000.0,58131000000.0,-6000000.0,4449000000.0,356000000.0,1982000000.0,-1459000000.0,203000000.0,711000000.0,4753000000.0,-167000000.0
US,CRM,2023,Q1,2022-04-30,USD,7411000000.0,2045000000.0,4028000000.0,5346000000.0,20000000.0,906000000.0,-74000000.0,-29000000.0,28000000.0,991000000.0,1001000000.0,6859000000.0,6644000000.0,20411000000.0,5781000000.0,72611000000.0,19899000000.0,14247000000.0,1000000.0,7405000000.0,58876000000.0,1579000000.0,-3004000000.0,387000000.0,3676000000.0,-2457000000.0,201000000.0,1395000000.0,5464000000.0,-179000000.0
US,CRM,2023,Q2,2022-07-31,USD,7720000000.0,2127000000.0,4071000000.0,5400000000.0,193000000.0,907000000.0,-76000000.0,181000000.0,68000000.0,997000000.0,1001000000.0,6931000000.0,6602000000.0,21246000000.0,6102000000.0,72902000000.0,20080000000.0,13970000000.0,1000000.0,7473000000.0,60098000000.0,-1855000000.0,-1391000000.0,363000000.0,334000000.0,-377000000.0,136000000.0,72000000.0,6859000000.0,-203000000.0
US,CRM,2023,Q3,2022-10-31,USD,7837000000.0,2088000000.0,4009000000.0,5289000000.0,460000000.0,941000000.0,-75000000.0,475000000.0,210000000.0,997000000.0,1000000000.0,6076000000.0,5842000000.0,19209000000.0,6418000000.0,72675000000.0,18227000000.0,14306000000.0,1000000.0,7683000000.0,59351000000.0,-2081000000.0,-2243000000.0,400000000.0,313000000.0,533000000.0,-1678000000.0,-855000000.0,6931000000.0,-198000000.0
US,CRM,2023,Q4,2023-01-31,USD,8384000000.0,2100000000.0,3971000000.0,5927000000.0,1185000000.0,1032000000.0,-63000000.0,33000000.0,-98000000.0,984000000.0,984000000.0,7016000000.0,5492000000.0,26395000000.0,6592000000.0,72454000000.0,25891000000.0,14599000000.0,1000000.0,7585000000.0,58359000000.0,288000000.0,5036000000.0,757000000.0,2788000000.0,312000000.0,-2221000000.0,940000000.0,6076000000.0,-218000000.0
US,CRM,2024,Q1,2023-04-30,USD,8247000000.0,2125000000.0,3792000000.0,5710000000.0,1123000000.0,1254000000.0,0.0,326000000.0,199000000.0,988000000.0,988000000.0,9155000000.0,4822000000.0,21981000000.0,6341000000.0,71560000000.0,21626000000.0,14503000000.0,1000000.0,7784000000.0,57412000000.0,1731000000.0,-2989000000.0,611000000.0,4491000000.0,347000000.0,-2716000000.0,2139000000.0,7016000000.0,-243000000.0
US,CRM,2024,Q2,2023-07-31,USD,8603000000.0,2113000000.0,3745000000.0,5014000000.0,1525000000.0,890000000.0,-70000000.0,1492000000.0,1267000000.0,975000000.0,986000000.0,6772000000.0,5625000000.0,21138000000.0,6451000000.0,71309000000.0,20805000000.0,13560000000.0,1000000.0,9051000000.0,58082000000.0,-2578000000.0,-1215000000.0,476000000.0,808000000.0,-1152000000.0,-2050000000.0,-2383000000.0,9155000000.0,-180000000.0
US,CRM,2024,Q3,2023-10-31,USD,8720000000.0,2155000000.0,3805000000.0,5064000000.0,1556000000.0,862000000.0,-70000000.0,1487000000.0,1224000000.0,972000000.0,981000000.0,6453000000.0,5410000000.0,20202000000.0,6325000000.0,70820000000.0,19394000000.0,13538000000.0,1000000.0,10275000000.0,58090000000.0,-1801000000.0,-1977000000.0,1276000000.0,1532000000.0,-54000000.0,-1765000000.0,-319000000.0,6772000000.0,-166000000.0
US,CRM,2024,Q4,2024-01-31,USD,9287000000.0,2148000000.0,4069000000.0,5517000000.0,1795000000.0,953000000.0,0.0,1645000000.0,1446000000.0,970000000.0,983000000.0,8472000000.0,5722000000.0,29074000000.0,6055000000.0,70749000000.0,26631000000.0,13546000000.0,1000000.0,11721000000.0,59646000000.0,-202000000.0,5233000000.0,532000000.0,3403000000.0,-468000000.0,-946000000.0,2019000000.0,6453000000.0,-147000000.0
US,CRM,2025,Q1,2024-04-30,USD,9133000000.0,2162000000.0,3886000000.0,5254000000.0,1717000000.0,879000000.0,0.0,1867000000.0,1533000000.0,970000000.0,985000000.0,9958000000.0,7712000000.0,25604000000.0,5761000000.0,70576000000.0,23149000000.0,13348000000.0,1000000.0,12866000000.0,59683000000.0,2605000000.0,-3802000000.0,480000000.0,6247000000.0,-2651000000.0,-2108000000.0,1486000000.0,8472000000.0,-163000000.0
US,CRM,2025,Q2,2024-07-31,USD,9325000000.0,2159000000.0,3935000000.0,5383000000.0,1882000000.0,907000000.0,-68000000.0,1837000000.0,1429000000.0,964000000.0,973000000.0,7682000000.0,4954000000.0,21862000000.0,5710000000.0,70318000000.0,21001000000.0,13546000000.0,1000000.0,13907000000.0,57633000000.0,-2817000000.0,-1901000000.0,563000000.0,892000000.0,2641000000.0,-5802000000.0,-2276000000.0,9958000000.0,-137000000.0
US,CRM,2025,Q3,2024-10-31,USD,9444000000.0,2105000000.0,4034000000.0,5446000000.0,1949000000.0,814000000.0,-67000000.0,1746000000.0,1527000000.0,963000000.0,975000000.0,7997000000.0,4760000000.0,21425000000.0,5583000000.0,69970000000.0,19375000000.0,13495000000.0,1000000.0,15049000000.0,58525000000.0,-1920000000.0,-2607000000.0,742000000.0,1983000000.0,-217000000.0,-1446000000.0,315000000.0,7682000000.0,-204000000.0
US,CRM,2025,Q4,2025-01-31,USD,9993000000.0,2217000000.0,4238000000.0,5956000000.0,2118000000.0,877000000.0,-68000000.0,1988000000.0,1708000000.0,959000000.0,974000000.0,8848000000.0,5184000000.0,29727000000.0,5393000000.0,73201000000.0,27980000000.0,13775000000.0,1000000.0,16369000000.0,61173000000.0,151000000.0,5730000000.0,431000000.0,3970000000.0,-2936000000.0,-73000000.0,851000000.0,7997000000.0,-154000000.0
US,CRM,2026,Q1,2025-04-30,USD,9829000000.0,2265000000.0,4126000000.0,5622000000.0,1906000000.0,843000000.0,101000000.0,1974000000.0,1541000000.0,969182000.0,970000000.0,10928000000.0,6480000000.0,25866000000.0,5260000000.0,72744000000.0,24196000000.0,13748000000.0,1000000.0,17504000000.0,60666000000.0,2670000000.0,-3914000000.0,608000000.0,6476000000.0,-1567000000.0,-2920000000.0,2080000000.0,8848000000.0,-179000000.0
US,CRM,2026,Q2,2025-07-31,USD,10236000000.0,2242000000.0,4177000000.0,5658000000.0,2406000000.0,817000000.0,83000000.0,2406000000.0,1887000000.0,956000000.0,962000000.0,10365000000.0,5007000000.0,25331000000.0,5182000000.0,72242000000.0,22532000000.0,13713000000.0,1000000.0,18987000000.0,61328000000.0,-3017000000.0,-1558000000.0,260000000.0,740000000.0,1165000000.0,-2503000000.0,1026000000.0,9339000000.0,-135000000.0
US,CRM,2026,Q3,2025-10-31,USD,10259000000.0,2255000000.0,4123000000.0,5816000000.0,2154000000.0,851000000.0,72000000.0,2512000000.0,2086000000.0,955000000.0,962000000.0,8978000000.0,2345000000.0,21063000000.0,5096000000.0,74081000000.0,21410000000.0,13713000000.0,1000000.0,20673000000.0,60021000000.0,-1725000000.0,-1848000000.0,285000000.0,2316000000.0,519000000.0,-4244000000.0,-1387000000.0,10365000000.0,-139000000.0
US,CRM,2026,Q4,2026-01-31,USD,11201000000.0,2508000000.0,4919000000.0,6242000000.0,2628000000.0,1120000000.0,0.0,2628000000.0,1943000000.0,935000000.0,940000000.0,7327000000.0,2238000000.0,28222000000.0,5123000000.0,84083000000.0,37118000000.0,16045000000.0,1000000.0,22221000000.0,59142000000.0,1569000000.0,7963000000.0,-251000000.0,5464000000.0,-8707000000.0,1588000000.0,-1651000000.0,8978000000.0,-141000000.0
US,CRM,2027,Q1,2026-04-30,USD,11133000000.0,2570000000.0,4509000000.0,6136000000.0,2427000000.0,0.0,-317000000.0,2721000000.0,2107000000.0,868000000.0,871000000.0,8935000000.0,2902000000.0,21613000000.0,5039000000.0,85067000000.0,27502000000.0,44943000000.0,1000000.0,23954000000.0,34235000000.0,3037000000.0,-4497000000.0,-285000000.0,6701000000.0,-2183000000.0,-2921000000.0,1608000000.0,7327000000.0,-145000000.0
