country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,INTC,INTC,2016,Q2,2016-07-02,USD,13533000000.0,5560000000.0,2007000000.0,5241000000.0,1857000000.0,89000000.0,-126000000.0,1670000000.0,1330000000.0,4729000000.0,4866000000.0,3885000000.0,13804000000.0,31188000000.0,33804000000.0,78643000000.0,18711000000.0,29753000000.0,24317000000.0,37130000000.0,61367000000.0,-815000000.0,-501000000.0,935000000.0,3845000000.0,-4170000000.0,1149000000.0,824000000.0,3061000000.0,-2286000000.0
US,INTC,INTC,2016,Q3,2016-10-01,USD,15778000000.0,5795000000.0,2006000000.0,5149000000.0,4834000000.0,74000000.0,-124000000.0,4318000000.0,3378000000.0,4734000000.0,4877000000.0,4752000000.0,13017000000.0,36216000000.0,34707000000.0,76001000000.0,20093000000.0,29009000000.0,25070000000.0,37645000000.0,63115000000.0,26000000.0,1061000000.0,361000000.0,5758000000.0,-2683000000.0,-2208000000.0,867000000.0,3885000000.0,-2463000000.0
US,INTC,INTC,2016,Q4,2016-12-31,USD,16374000000.0,6269000000.0,2158000000.0,5479000000.0,4626000000.0,41000000.0,-95000000.0,4440000000.0,3562000000.0,4735000000.0,4881000000.0,5560000000.0,11539000000.0,35508000000.0,36171000000.0,77819000000.0,20302000000.0,26799000000.0,25373000000.0,40747000000.0,66226000000.0,1833000000.0,1437000000.0,72000000.0,8150000000.0,-3444000000.0,-3898000000.0,808000000.0,4752000000.0,-3530000000.0
US,INTC,INTC,2017,Q1,2017-04-01,USD,14796000000.0,5649000000.0,2104000000.0,5468000000.0,3712000000.0,1946000000.0,-70000000.0,3815000000.0,2964000000.0,4723000000.0,4881000000.0,4934000000.0,12361000000.0,36058000000.0,36911000000.0,79590000000.0,21305000000.0,27499000000.0,25890000000.0,40091000000.0,66844000000.0,-1451000000.0,-1302000000.0,-170000000.0,3898000000.0,-2778000000.0,-1746000000.0,-626000000.0,5560000000.0,-2067000000.0
US,INTC,INTC,2017,Q2,2017-07-01,USD,14763000000.0,5665000000.0,1854000000.0,5166000000.0,3947000000.0,1988000000.0,-20000000.0,4572000000.0,2808000000.0,4710000000.0,4845000000.0,11687000000.0,14242000000.0,40617000000.0,38130000000.0,81490000000.0,18782000000.0,34700000000.0,25781000000.0,41670000000.0,68625000000.0,-454000000.0,350000000.0,-558000000.0,4707000000.0,-1438000000.0,3484000000.0,6753000000.0,4934000000.0,-2663000000.0
US,INTC,INTC,2017,Q3,2017-09-30,USD,16149000000.0,6092000000.0,1666000000.0,4938000000.0,5172000000.0,2055000000.0,-54000000.0,5930000000.0,4516000000.0,4688000000.0,4821000000.0,9075000000.0,8429000000.0,33154000000.0,39472000000.0,93934000000.0,20689000000.0,35463000000.0,26547000000.0,42779000000.0,70936000000.0,446000000.0,1695000000.0,-842000000.0,6264000000.0,-6316000000.0,-2560000000.0,-2612000000.0,11687000000.0,-2979000000.0
US,INTC,INTC,2017,Q4,2017-12-31,USD,17053000000.0,6286000000.0,1850000000.0,5372000000.0,6188000000.0,2140000000.0,-61000000.0,6035000000.0,-687000000.0,4683000000.0,4683000000.0,3433000000.0,10569000000.0,29500000000.0,41109000000.0,93749000000.0,17421000000.0,36809000000.0,26074000000.0,42083000000.0,69019000000.0,5043000000.0,4731000000.0,-540000000.0,7241000000.0,-5230000000.0,-7653000000.0,-5642000000.0,9075000000.0,-4069000000.0
US,INTC,INTC,2018,Q1,2018-03-31,USD,16066000000.0,6335000000.0,1900000000.0,5261000000.0,4470000000.0,2196000000.0,-21000000.0,5011000000.0,4454000000.0,4674000000.0,4790000000.0,3554000000.0,12643000000.0,31630000000.0,43735000000.0,96966000000.0,19961000000.0,38470000000.0,26430000000.0,44418000000.0,70165000000.0,-157000000.0,-236000000.0,-643000000.0,6284000000.0,-4791000000.0,-1372000000.0,121000000.0,3433000000.0,-2910000000.0
US,INTC,INTC,2018,Q2,2018-06-30,USD,16962000000.0,6543000000.0,1725000000.0,5146000000.0,5273000000.0,2122000000.0,-8000000.0,5529000000.0,5006000000.0,4649000000.0,4747000000.0,2614000000.0,9611000000.0,27603000000.0,45914000000.0,98369000000.0,17571000000.0,38354000000.0,25470000000.0,45666000000.0,70047000000.0,61000000.0,-200000000.0,-255000000.0,7413000000.0,-1193000000.0,-7160000000.0,-940000000.0,3554000000.0,-4530000000.0
US,INTC,INTC,2018,Q3,2018-09-29,USD,19163000000.0,6803000000.0,1605000000.0,5011000000.0,7277000000.0,2274000000.0,-132000000.0,7142000000.0,6398000000.0,4574000000.0,4648000000.0,3407000000.0,9779000000.0,29590000000.0,47071000000.0,98652000000.0,19574000000.0,37185000000.0,25492000000.0,47094000000.0,71483000000.0,-428000000.0,293000000.0,283000000.0,8835000000.0,-3435000000.0,-4607000000.0,793000000.0,2614000000.0,-3851000000.0
US,INTC,INTC,2018,Q4,2018-12-31,USD,18657000000.0,7430000000.0,1520000000.0,5003000000.0,6224000000.0,2493000000.0,-1000000.0,5635000000.0,5195000000.0,4549000000.0,4619000000.0,3019000000.0,8631000000.0,28787000000.0,48976000000.0,99176000000.0,16626000000.0,36774000000.0,25365000000.0,50172000000.0,74563000000.0,103000000.0,1439000000.0,533000000.0,6900000000.0,-1820000000.0,-5468000000.0,-388000000.0,3407000000.0,-3890000000.0
US,INTC,INTC,2019,Q1,2019-03-30,USD,16061000000.0,6972000000.0,1583000000.0,4915000000.0,4174000000.0,2625000000.0,-3000000.0,4547000000.0,3974000000.0,4492000000.0,4564000000.0,3154000000.0,8879000000.0,29060000000.0,50040000000.0,100398000000.0,18911000000.0,36886000000.0,25346000000.0,49128000000.0,73661000000.0,-1755000000.0,-1204000000.0,4570000000.0,4959000000.0,-2722000000.0,-2102000000.0,135000000.0,3019000000.0,-3321000000.0
US,INTC,INTC,2019,Q2,2019-06-29,USD,16505000000.0,6627000000.0,1589000000.0,5261000000.0,4801000000.0,2554000000.0,-10000000.0,4724000000.0,4179000000.0,4466000000.0,4523000000.0,2867000000.0,9077000000.0,29239000000.0,51377000000.0,101520000000.0,19705000000.0,36107000000.0,25140000000.0,50429000000.0,74947000000.0,210000000.0,181000000.0,7117000000.0,7587000000.0,-3288000000.0,-4586000000.0,-287000000.0,3154000000.0,-3554000000.0
US,INTC,INTC,2019,Q3,2019-09-28,USD,19190000000.0,7895000000.0,1486000000.0,4848000000.0,6551000000.0,2679000000.0,7000000.0,6719000000.0,5990000000.0,4391000000.0,4433000000.0,3935000000.0,8090000000.0,29957000000.0,53563000000.0,103811000000.0,25064000000.0,34462000000.0,25290000000.0,49674000000.0,74242000000.0,1906000000.0,2188000000.0,-295000000.0,10711000000.0,-3910000000.0,-5733000000.0,1068000000.0,2867000000.0,-4672000000.0
US,INTC,INTC,2019,Q4,2019-12-31,USD,20209000000.0,8331000000.0,1542000000.0,5081000000.0,6902000000.0,2968000000.0,1000000.0,8068000000.0,6905000000.0,4319000000.0,4373000000.0,4194000000.0,8929000000.0,31239000000.0,55386000000.0,105285000000.0,22310000000.0,36710000000.0,25261000000.0,53523000000.0,77504000000.0,787000000.0,1703000000.0,-1187000000.0,9888000000.0,-4485000000.0,-5144000000.0,259000000.0,3935000000.0,-4666000000.0
US,INTC,INTC,2020,Q1,2020-03-28,USD,19828000000.0,7812000000.0,1541000000.0,4978000000.0,7200000000.0,3050000000.0,-42000000.0,6614000000.0,5661000000.0,4266000000.0,4312000000.0,11380000000.0,9423000000.0,41501000000.0,56770000000.0,106209000000.0,23895000000.0,47461000000.0,25251000000.0,52644000000.0,76354000000.0,-3136000000.0,-1909000000.0,134000000.0,6158000000.0,-3736000000.0,4764000000.0,7186000000.0,4194000000.0,-3268000000.0
US,INTC,INTC,2020,Q2,2020-06-27,USD,19728000000.0,9221000000.0,1447000000.0,4801000000.0,5706000000.0,3063000000.0,-103000000.0,5935000000.0,5105000000.0,4246000000.0,4284000000.0,8736000000.0,17079000000.0,44390000000.0,58036000000.0,108149000000.0,22481000000.0,48048000000.0,25516000000.0,57646000000.0,82010000000.0,2723000000.0,1335000000.0,-226000000.0,11157000000.0,-10610000000.0,-3191000000.0,-2644000000.0,11380000000.0,-3408000000.0
US,INTC,INTC,2020,Q3,2020-09-26,USD,18333000000.0,8592000000.0,1435000000.0,4682000000.0,5034000000.0,3123000000.0,-107000000.0,5041000000.0,4276000000.0,4188000000.0,4211000000.0,3356000000.0,14897000000.0,36785000000.0,59205000000.0,108476000000.0,22112000000.0,48595000000.0,23335000000.0,52159000000.0,74554000000.0,341000000.0,192000000.0,-13000000.0,8179000000.0,-766000000.0,-12793000000.0,-5380000000.0,8736000000.0,-3716000000.0
US,INTC,INTC,2020,Q4,2020-12-31,USD,19978000000.0,8835000000.0,1757000000.0,5412000000.0,7636000000.0,3003000000.0,-105000000.0,7488000000.0,5857000000.0,4094000000.0,4119000000.0,5865000000.0,18030000000.0,47249000000.0,56584000000.0,105842000000.0,24754000000.0,47299000000.0,25556000000.0,56233000000.0,81038000000.0,2251000000.0,1953000000.0,-1682000000.0,9890000000.0,-5684000000.0,-1697000000.0,2509000000.0,3356000000.0,-4061000000.0
US,INTC,INTC,2021,Q1,2021-03-27,USD,19673000000.0,8819000000.0,1328000000.0,4951000000.0,4096000000.0,2902000000.0,-153000000.0,3906000000.0,3361000000.0,4056000000.0,4096000000.0,5192000000.0,17205000000.0,45773000000.0,57330000000.0,104849000000.0,24151000000.0,46664000000.0,26272000000.0,54638000000.0,79807000000.0,-3050000000.0,-3107000000.0,1910000000.0,5548000000.0,-2547000000.0,-3674000000.0,-673000000.0,5865000000.0,-4388000000.0
US,INTC,INTC,2021,Q2,2021-06-26,USD,19631000000.0,8425000000.0,1599000000.0,5314000000.0,5874000000.0,2857000000.0,-92000000.0,5745000000.0,5061000000.0,4049000000.0,4084000000.0,4746000000.0,20111000000.0,49372000000.0,58166000000.0,105225000000.0,24836000000.0,44554000000.0,26655000000.0,59647000000.0,85207000000.0,119000000.0,555000000.0,90000000.0,8746000000.0,-6904000000.0,-2288000000.0,-446000000.0,5192000000.0,-3868000000.0
US,INTC,INTC,2021,Q3,2021-09-25,USD,19192000000.0,8446000000.0,1674000000.0,5519000000.0,7002000000.0,2959000000.0,-107000000.0,6858000000.0,6823000000.0,4061000000.0,4086000000.0,7870000000.0,26765000000.0,61304000000.0,59733000000.0,106658000000.0,29572000000.0,48303000000.0,27592000000.0,63642000000.0,90087000000.0,91000000.0,1447000000.0,-516000000.0,9900000000.0,-10682000000.0,3906000000.0,3124000000.0,4746000000.0,-4441000000.0
US,INTC,INTC,2021,Q4,2021-12-31,USD,20528000000.0,9519000000.0,1942000000.0,5991000000.0,5328000000.0,3074000000.0,-101000000.0,5194000000.0,4623000000.0,4069000000.0,4095000000.0,4827000000.0,23586000000.0,57718000000.0,63245000000.0,110688000000.0,27462000000.0,45553000000.0,28006000000.0,68265000000.0,95391000000.0,-2033000000.0,55000000.0,-316000000.0,5797000000.0,-5034000000.0,-3806000000.0,-3043000000.0,7870000000.0,-7632000000.0
US,INTC,INTC,2022,Q1,2022-04-02,USD,18353000000.0,9109000000.0,1752000000.0,4903000000.0,9785000000.0,3348000000.0,-77000000.0,9661000000.0,8113000000.0,4079000000.0,4107000000.0,6215000000.0,32481000000.0,62568000000.0,66718000000.0,113788000000.0,29322000000.0,43898000000.0,29244000000.0,74894000000.0,103136000000.0,-848000000.0,-1957000000.0,-5429000000.0,5891000000.0,-2640000000.0,-1863000000.0,1388000000.0,4827000000.0,-4797000000.0
US,INTC,INTC,2022,Q2,2022-07-02,USD,15321000000.0,9734000000.0,1800000000.0,6287000000.0,-800000000.0,3148000000.0,-11000000.0,-909000000.0,-454000000.0,4100000000.0,4100000000.0,4390000000.0,22654000000.0,50588000000.0,71660000000.0,119830000000.0,27218000000.0,41982000000.0,29858000000.0,72985000000.0,101218000000.0,-2977000000.0,-3996000000.0,200000000.0,809000000.0,168000000.0,-2802000000.0,-1825000000.0,6215000000.0,-7255000000.0
US,INTC,INTC,2022,Q3,2022-10-01,USD,15338000000.0,8803000000.0,1744000000.0,6710000000.0,-74000000.0,3252000000.0,56000000.0,-188000000.0,1019000000.0,4118000000.0,4125000000.0,4529000000.0,18030000000.0,49263000000.0,75763000000.0,125578000000.0,27813000000.0,47143000000.0,30912000000.0,71024000000.0,99885000000.0,-4781000000.0,-2116000000.0,747000000.0,1030000000.0,-4571000000.0,3680000000.0,139000000.0,4390000000.0,-7299000000.0
US,INTC,INTC,2022,Q4,2022-12-31,USD,14042000000.0,8542000000.0,1706000000.0,6632000000.0,-647000000.0,3287000000.0,125000000.0,-796000000.0,-664000000.0,4133000000.0,4133000000.0,11144000000.0,17194000000.0,50407000000.0,80860000000.0,131696000000.0,32155000000.0,46662000000.0,31580000000.0,70405000000.0,101423000000.0,4098000000.0,699000000.0,243000000.0,7703000000.0,-3431000000.0,2343000000.0,6615000000.0,4529000000.0,-5699000000.0
US,INTC,INTC,2023,Q1,2023-04-01,USD,11715000000.0,7707000000.0,1303000000.0,5476000000.0,-965000000.0,2366000000.0,141000000.0,-1158000000.0,-2758000000.0,4154000000.0,4154000000.0,8232000000.0,19302000000.0,48314000000.0,85734000000.0,136989000000.0,27393000000.0,57507000000.0,32829000000.0,65649000000.0,98059000000.0,-2010000000.0,-1756000000.0,-112000000.0,-1785000000.0,-8521000000.0,7394000000.0,-2912000000.0,11144000000.0,-7413000000.0
US,INTC,INTC,2023,Q2,2023-07-01,USD,12949000000.0,8311000000.0,1374000000.0,5654000000.0,-602000000.0,2276000000.0,99000000.0,-816000000.0,1481000000.0,4182000000.0,4196000000.0,8349000000.0,15908000000.0,43356000000.0,90945000000.0,142273000000.0,27180000000.0,53978000000.0,34330000000.0,67231000000.0,101017000000.0,-2084000000.0,-3613000000.0,200000000.0,2808000000.0,-2808000000.0,117000000.0,117000000.0,8232000000.0,-5888000000.0
US,INTC,INTC,2023,Q3,2023-09-30,USD,14158000000.0,8140000000.0,1340000000.0,6026000000.0,152000000.0,2447000000.0,128000000.0,-52000000.0,297000000.0,4202000000.0,4229000000.0,7621000000.0,17409000000.0,43811000000.0,93352000000.0,145026000000.0,28614000000.0,54537000000.0,35653000000.0,67021000000.0,101813000000.0,1639000000.0,948000000.0,463000000.0,5824000000.0,-7394000000.0,842000000.0,-728000000.0,8349000000.0,-5753000000.0
US,INTC,INTC,2023,Q4,2023-12-31,USD,15406000000.0,8359000000.0,1617000000.0,4462000000.0,3055000000.0,2513000000.0,89000000.0,2788000000.0,2669000000.0,4222000000.0,4260000000.0,7079000000.0,17955000000.0,43269000000.0,97152000000.0,148303000000.0,28053000000.0,53554000000.0,36649000000.0,69156000000.0,105590000000.0,-114000000.0,-175000000.0,-1231000000.0,4624000000.0,-5318000000.0,152000000.0,-542000000.0,7621000000.0,-6696000000.0
US,INTC,INTC,2024,Q1,2024-03-30,USD,12724000000.0,7507000000.0,1556000000.0,6286000000.0,-461000000.0,2551000000.0,65000000.0,-719000000.0,-381000000.0,4242000000.0,4242000000.0,6923000000.0,14388000000.0,42608000000.0,99924000000.0,150125000000.0,27213000000.0,54764000000.0,38291000000.0,68224000000.0,105973000000.0,-3962000000.0,-3290000000.0,-208000000.0,-1223000000.0,-2563000000.0,3630000000.0,-156000000.0,7079000000.0,-5970000000.0
US,INTC,INTC,2024,Q2,2024-06-29,USD,12833000000.0,8286000000.0,1329000000.0,6511000000.0,-1710000000.0,2569000000.0,26000000.0,-2004000000.0,-1610000000.0,4267000000.0,4267000000.0,11287000000.0,17986000000.0,50829000000.0,103398000000.0,155376000000.0,32027000000.0,53744000000.0,49763000000.0,66162000000.0,115229000000.0,-1164000000.0,-2176000000.0,1761000000.0,2292000000.0,-9165000000.0,11237000000.0,4364000000.0,6923000000.0,-5682000000.0
US,INTC,INTC,2024,Q3,2024-09-28,USD,13284000000.0,11287000000.0,1383000000.0,11054000000.0,-8838000000.0,3612000000.0,130000000.0,-9086000000.0,-16639000000.0,4292000000.0,4292000000.0,8785000000.0,15301000000.0,46137000000.0,104248000000.0,147405000000.0,35159000000.0,53519000000.0,50665000000.0,49052000000.0,99532000000.0,5479000000.0,5940000000.0,11152000000.0,4054000000.0,-2764000000.0,-3792000000.0,-2502000000.0,11287000000.0,-6458000000.0
US,INTC,INTC,2024,Q4,2024-12-28,USD,14260000000.0,8676000000.0,1239000000.0,5172000000.0,833000000.0,2647000000.0,626000000.0,599000000.0,-126000000.0,4319000000.0,4319000000.0,8249000000.0,13813000000.0,47324000000.0,107919000000.0,149161000000.0,35666000000.0,55787000000.0,50949000000.0,49032000000.0,99270000000.0,750000000.0,1175000000.0,-730000000.0,3165000000.0,-3764000000.0,63000000.0,-536000000.0,8785000000.0,-5834000000.0
US,INTC,INTC,2025,Q1,2025-03-29,USD,12667000000.0,7995000000.0,1177000000.0,4973000000.0,-287000000.0,2674000000.0,-54000000.0,-586000000.0,-821000000.0,4343000000.0,4343000000.0,8947000000.0,12101000000.0,42134000000.0,109763000000.0,150108000000.0,32174000000.0,53655000000.0,51920000000.0,48322000000.0,99756000000.0,-1789000000.0,-1880000000.0,112000000.0,813000000.0,81000000.0,-196000000.0,698000000.0,8249000000.0,-5183000000.0
US,INTC,INTC,2025,Q2,2025-06-28,USD,12859000000.0,9317000000.0,1144000000.0,6718000000.0,-2542000000.0,3013000000.0,-17000000.0,-2769000000.0,-2918000000.0,4369000000.0,4369000000.0,9643000000.0,11563000000.0,43375000000.0,109510000000.0,149145000000.0,34966000000.0,51803000000.0,52334000000.0,45484000000.0,97883000000.0,948000000.0,-178000000.0,362000000.0,2050000000.0,-2086000000.0,782000000.0,746000000.0,8947000000.0,-3550000000.0
US,INTC,INTC,2025,Q3,2025-09-27,USD,13653000000.0,8435000000.0,1129000000.0,4535000000.0,4856000000.0,2992000000.0,-54000000.0,4574000000.0,4063000000.0,4514000000.0,4531000000.0,11141000000.0,19794000000.0,51731000000.0,105047000000.0,152783000000.0,32297000000.0,55487000000.0,56755000000.0,49602000000.0,106376000000.0,-1365000000.0,-20000000.0,-3916000000.0,2546000000.0,-6250000000.0,5152000000.0,1448000000.0,9693000000.0,-2425000000.0
US,INTC,INTC,2025,Q4,2025-12-27,USD,13674000000.0,8731000000.0,1157000000.0,4393000000.0,621000000.0,3027000000.0,42000000.0,338000000.0,-591000000.0,4856000000.0,4856000000.0,14265000000.0,23151000000.0,63688000000.0,105414000000.0,147741000000.0,31575000000.0,53494000000.0,65185000000.0,48983000000.0,114281000000.0,459000000.0,621000000.0,392000000.0,4288000000.0,-6566000000.0,5849000000.0,3571000000.0,11141000000.0,-3488000000.0
US,INTC,INTC,2026,Q1,2026-03-28,USD,13577000000.0,8230000000.0,1038000000.0,8483000000.0,-3701000000.0,3136000000.0,69000000.0,-3946000000.0,-3728000000.0,5083000000.0,5083000000.0,17247000000.0,15542000000.0,62157000000.0,104458000000.0,143175000000.0,26885000000.0,53458000000.0,66259000000.0,45179000000.0,111394000000.0,-3498000000.0,-2331000000.0,4574000000.0,1096000000.0,3093000000.0,-1206000000.0,2983000000.0,14712000000.0,-3636000000.0
